rank,ticker,name,bucket,tag,composite,class,F1_rev_per_emp,F2_op_margin,F3_gross_margin,F4_emp_density,F5_fcf_drag,rev_per_emp_$,op_margin,gross_margin,employees,revenue_$M,market_cap_$M,rev_growth,how
68,IT,"Gartner, Inc.",Research/Advisory,KNOW_WORKER,48.8,MIXED,64.0,34.4,17.2,64.0,33.3,334287.0,20.5,69.0,19367,6474.0,10713.0,-1.5,Research & advisory; LLMs replicate analyst report writing
69,ADP,"Automatic Data Processing, Inc.",Payroll/HR,BACKOFFICE,48.1,MIXED,64.8,22.7,32.8,64.8,51.1,322394.0,30.2,48.5,67000,21600.0,90064.0,7.0,Same model at larger scale; CS heavy
70,PINC,"Premier, Inc.",Healthcare GPO,BACKOFFICE,48.0,MIXED,52.0,60.9,13.3,52.0,,372040.0,11.4,73.0,2700,1005.0,2337.0,-3.3,Healthcare GPO admin
71,ZION,"Zions Bancorporation, National Association",Regional Bank,BACKOFFICE,48.0,MIXED,51.2,14.1,93.8,51.2,,373157.0,36.1,,9090,3392.0,9137.0,10.2,Same
72,ASGN,ASGN Inc,Staffing,LABOR_PCT,47.9,MIXED,12.0,82.8,61.7,12.0,,1421571.0,4.2,28.6,2800,3980.0,834.0,,IT/professional staffing
73,RF,Regions Financial Corporation,Regional Bank,BACKOFFICE,47.9,MIXED,56.0,7.0,89.1,56.0,,360522.0,40.1,,19910,7178.0,23750.0,7.3,Same
74,CHGG,"Chegg, Inc.",Online Learning,KNOW_WORKER,47.7,MIXED,28.8,94.5,18.8,28.8,,565218.0,-1.6,67.0,564,319.0,174.0,-47.9,Direct AI substitution risk — but pivoting to AI tutor
75,MEDP,"Medpace Holdings, Inc.",CRO,LABOR_PCT,46.8,MIXED,44.8,35.2,14.1,44.8,56.7,425122.0,20.0,71.9,6300,2678.0,12361.0,26.5,Mid-cap CRO
76,FIVN,"Five9, Inc.",CCaaS Software,BACKOFFICE,46.7,MIXED,47.2,75.8,22.7,47.2,7.8,403678.0,6.1,55.5,2910,1175.0,1743.0,9.2,Same — direct AI agent monetization
77,USB,U.S. Bancorp,Regional Bank,BACKOFFICE,45.0,MIXED,49.6,10.2,87.5,49.6,,380671.0,37.8,,70000,26647.0,85113.0,4.6,Same — super-regional
78,KEY,KeyCorp,Regional Bank,BACKOFFICE,45.0,MIXED,45.6,16.4,90.6,45.6,,412216.0,35.8,,17469,7201.0,23376.0,11.8,Same
79,MET,"MetLife, Inc.",Life Insurance,CLAIMS_INTENS,44.9,MIXED,8.8,64.1,69.5,8.8,100.0,1686609.0,9.9,23.8,46000,77584.0,54087.0,2.7,Same
80,COF,Capital One Financial Corporation,Cards/Bank,BACKOFFICE,44.9,MIXED,39.2,24.2,98.4,39.2,,470960.0,28.6,,77100,36311.0,116860.0,46.3,Servicing + collections
81,BRO,"Brown & Brown, Inc.",Insurance Broker,BACKOFFICE,44.8,MIXED,73.6,2.3,25.0,73.6,36.7,273418.0,47.2,53.4,22888,6258.0,19598.0,35.7,Brown & Brown
82,NYT,The New York Times Company,Publisher,KNOW_WORKER,44.6,MIXED,36.0,56.2,29.7,36.0,60.0,479024.0,13.1,50.7,6000,2874.0,12133.0,12.1,Translation + editorial automation
83,PNC,"The PNC Financial Services Group, Inc.",Regional Bank,BACKOFFICE,44.2,MIXED,46.4,13.3,88.3,46.4,,408793.0,36.7,,56366,23042.0,88035.0,13.8,Same
84,UNH,UnitedHealth Group Incorporated,Health Insurance,CLAIMS_INTENS,44.2,MIXED,16.0,71.9,73.4,16.0,32.2,1153110.0,8.0,18.8,390000,449713.0,352787.0,2.0,Optum admin + prior auth automation
85,ELV,"Elevance Health, Inc.",Health Insurance,CLAIMS_INTENS,44.0,MIXED,4.0,77.3,66.4,4.0,86.7,2084865.0,5.3,25.9,96129,200416.0,85712.0,2.6,Same — Elevance
86,CFG,"Citizens Financial Group, Inc.",Regional Bank,BACKOFFICE,43.7,MIXED,42.4,18.8,89.8,42.4,,453682.0,32.1,,17380,7885.0,26595.0,13.8,Same
87,COMP,"Compass, Inc.",Real Estate,CS_INTENSITY,43.4,MIXED,1.6,97.7,82.0,1.6,2.2,2596750.0,-5.7,12.9,3200,8310.0,6276.0,99.4,Compass — same
88,LNC,Lincoln National Corporation,Life Insurance,CLAIMS_INTENS,43.0,MIXED,5.6,96.9,64.8,5.6,23.3,1998302.0,-4.1,27.0,9423,18830.0,6889.0,12.5,Same — smaller
89,HUM,Humana Inc.,Health Insurance,CLAIMS_INTENS,42.5,MIXED,4.8,81.2,80.5,4.8,38.9,2045929.0,4.7,14.0,67060,137200.0,36973.0,23.5,Same — Humana
90,MTB,M&T Bank Corporation,Regional Bank,BACKOFFICE,42.2,MIXED,44.0,8.6,92.2,44.0,,425775.0,38.9,,21866,9310.0,31219.0,5.7,Same
91,MOH,"Molina Healthcare, Inc.",Health Insurance,CLAIMS_INTENS,41.8,MIXED,2.4,92.2,85.2,2.4,10.0,2268210.0,1.7,8.9,19000,43096.0,9594.0,-4.3,Medicaid managed care
92,BR,"Broadridge Financial Solutions, Inc.",Bank Tech,BACKOFFICE,41.1,MIXED,35.2,39.1,56.2,35.2,53.3,488153.0,18.4,31.3,15000,7322.0,17405.0,7.8,Broadridge — proxy/regulatory ops
93,PAYC,"Paycom Software, Inc.",HR Tech,BACKOFFICE,40.4,MIXED,54.4,12.5,4.7,54.4,93.3,362756.0,36.8,87.6,5770,2093.0,6425.0,7.8,Same
94,CI,The Cigna Group,Health Insurance,CLAIMS_INTENS,40.4,MIXED,0.0,76.6,84.4,0.0,48.9,4231708.0,5.5,9.1,65669,277892.0,75720.0,4.6,Cigna + Evernorth (PBM)
95,DLX,Deluxe Corporation,Print/Marketing,BACKOFFICE,40.3,MIXED,40.0,53.9,25.8,40.0,30.0,467031.0,13.5,52.9,4571,2135.0,1086.0,0.3,Deluxe — checks + marketing services
96,CNC,Centene Corporation,Health Insurance,CLAIMS_INTENS,39.9,AVOID,0.8,78.9,83.6,0.8,,2923475.0,5.1,10.6,61000,178332.0,29203.0,5.1,Medicaid claims
97,DOCU,"DocuSign, Inc.",Doc Software,BACKOFFICE,38.8,AVOID,41.6,63.3,7.0,41.6,11.1,457056.0,10.5,79.6,7044,3220.0,9623.0,7.8,DocuSign Maestro — agreement automation
98,BEN,"Franklin Resources, Inc.",Asset Mgmt,KNOW_WORKER,38.3,AVOID,20.0,40.6,43.0,20.0,98.9,902970.0,17.2,37.4,10000,9030.0,16119.0,8.7,Same
99,PRU,"Prudential Financial, Inc.",Life Insurance,CLAIMS_INTENS,38.1,AVOID,8.0,80.5,60.9,8.0,13.3,1728877.0,4.7,29.0,36607,63289.0,36163.0,15.3,Annuity admin + underwriting heavy
100,ALLY,Ally Financial Inc.,Auto Finance,BACKOFFICE,38.0,AVOID,23.2,30.5,100.0,23.2,,746311.0,21.0,,10300,7687.0,12981.0,19.7,Servicing back office
101,BAC,Bank of America Corporation,Money Center Bank,BACKOFFICE,37.9,AVOID,32.0,14.8,96.1,32.0,,516934.0,36.0,,212000,109590.0,367603.0,8.1,Targeting 200+bps operating leverage via AI
102,WDAY,"Workday, Inc.",HCM Software,BACKOFFICE,35.9,AVOID,38.4,55.5,10.9,38.4,12.2,472977.0,13.3,75.8,20834,9854.0,31995.0,13.5,Building AI but heavy services revenue
103,CINF,Cincinnati Financial Corporation,P&C Insurance,CLAIMS_INTENS,35.7,AVOID,3.2,60.2,63.3,3.2,63.3,2266082.0,11.8,27.9,5705,12928.0,26003.0,11.6,Same — mid-cap P&C
104,TFC,Truist Financial Corporation,Regional Bank,BACKOFFICE,35.7,AVOID,34.4,7.8,86.7,34.4,,492568.0,39.0,,37877,18657.0,60276.0,5.2,Branch + back-office labor; AI cuts opex bps
105,SYF,Synchrony Financial,Cards,BACKOFFICE,35.6,AVOID,33.6,1.6,99.2,33.6,,494600.0,48.0,,20000,9892.0,24161.0,6.1,Synchrony — collections heavy
106,NOW,"ServiceNow, Inc.",Enterprise Software,BACKOFFICE,35.0,AVOID,36.8,54.7,10.2,36.8,14.4,478295.0,13.3,76.6,29187,13960.0,105327.0,22.1,ServiceNow — IT/ops AI agents
107,JPM,JPMorgan Chase & Co.,Money Center Bank,BACKOFFICE,34.5,AVOID,31.2,4.7,95.3,31.2,,542238.0,43.7,,320079,173559.0,820949.0,12.7,Internal AI org — Dimon cited '10% ops cut'
108,ACIW,"ACI Worldwide, Inc.",Payments Software,BACKOFFICE,34.5,AVOID,26.4,50.8,32.0,26.4,37.8,611251.0,14.8,49.0,2930,1791.0,4343.0,7.9,ACI — payments middleware ops
109,ALL,The Allstate Corporation,P&C Insurance,CLAIMS_INTENS,33.8,AVOID,15.2,37.5,50.0,15.2,62.2,1286302.0,19.0,34.4,53000,68174.0,55757.0,3.0,Personal lines claims
110,HQY,"HealthEquity, Inc.",Benefits Admin,BACKOFFICE,32.7,AVOID,40.8,29.7,15.6,40.8,25.6,466748.0,21.6,69.5,2814,1313.0,7386.0,7.3,HSA + COBRA admin — back-office processing
111,WAL,Western Alliance Bancorporation,Regional Bank,BACKOFFICE,32.7,AVOID,20.8,19.5,94.5,20.8,,896206.0,31.8,,3769,3378.0,8581.0,7.9,Same
112,RBA,"RB Global, Inc.",Auctions,BACKOFFICE,32.5,AVOID,28.0,39.8,35.9,28.0,31.1,589588.0,18.0,46.4,8000,4717.0,19509.0,11.4,RB Global — auction admin
113,CB,Chubb Limited,P&C Insurance,CLAIMS_INTENS,31.6,AVOID,14.4,32.8,57.0,14.4,47.8,1355289.0,20.6,31.0,45000,60988.0,127175.0,10.2,Specialty commercial; underwriting AI
114,LPLA,LPL Financial Holdings Inc.,Wealth Mgmt,BACKOFFICE,30.8,AVOID,7.2,61.7,57.8,7.2,,1801845.0,11.1,30.4,9901,17840.0,22858.0,35.0,Advisor support back office
115,HIG,"The Hartford Insurance Group, Inc.",P&C Insurance,CLAIMS_INTENS,30.3,AVOID,10.4,50.0,42.2,10.4,35.6,1499531.0,15.3,38.2,19200,28791.0,37287.0,6.1,Commercial + group benefits claims
116,HRB,"H&R Block, Inc.",Tax Services,LABOR_PCT,29.0,AVOID,19.2,5.5,36.7,19.2,76.7,909659.0,43.2,44.3,4300,3912.0,4930.0,5.3,46% labor / 97th %ile (Goldman); tax-prep workflow fully agent-able
117,CRM,"Salesforce, Inc.",Enterprise Software,BACKOFFICE,28.8,AVOID,32.8,36.7,9.4,32.8,17.8,498296.0,19.2,77.7,83334,41525.0,147307.0,12.1,"Agentforce — building the agent, services cuts"
118,COUR,"Coursera, Inc.",Online Learning,KNOW_WORKER,27.6,AVOID,27.2,,23.4,27.2,,592119.0,-12.9,54.8,1307,774.0,1523.0,9.1,Coursera — content + grading automation
119,TRV,"The Travelers Companies, Inc.",P&C Insurance,CLAIMS_INTENS,27.5,AVOID,11.2,38.3,52.3,11.2,20.0,1439471.0,18.7,32.9,34000,48942.0,65167.0,1.0,Claims processing — agentic AI cuts loss adjustment expense ratio
120,ZM,"Zoom Communications, Inc.",Comms/CCaaS,BACKOFFICE,27.3,AVOID,25.6,25.8,8.6,25.6,67.8,663224.0,25.1,77.8,7438,4933.0,31136.0,5.5,Zoom AI Companion + contact center pivot
121,TROW,"T. Rowe Price Group, Inc.",Asset Mgmt,KNOW_WORKER,25.1,AVOID,18.4,11.7,28.1,18.4,75.6,986799.0,37.2,52.0,7507,7408.0,22153.0,5.3,Research-analyst pyramid
122,BLK,"BlackRock, Inc.",Asset Mgmt,KNOW_WORKER,24.1,AVOID,17.6,17.2,34.4,17.6,46.7,1009370.0,35.6,46.9,25400,25638.0,166566.0,27.0,Aladdin + research analyst leverage
123,RJF,"Raymond James Financial, Inc.",Wealth Mgmt,BACKOFFICE,22.8,AVOID,22.4,35.9,2.3,22.4,,755026.0,19.3,93.0,19500,14723.0,29517.0,13.1,Raymond James — same
124,AMP,"Ameriprise Financial, Inc.",Wealth Mgmt,BACKOFFICE,20.2,AVOID,12.8,10.9,21.9,12.8,77.8,1420294.0,37.2,56.6,13600,19316.0,40661.0,9.0,Ameriprise — same
125,SCHW,The Charles Schwab Corporation,Brokerage,CS_INTENSITY,15.9,AVOID,24.0,0.8,1.6,24.0,,740418.0,49.4,97.5,33500,24804.0,156783.0,15.8,Self-service brokerage; AI compresses CS
126,INTU,Intuit Inc.,Fintech Software,BACKOFFICE,14.7,AVOID,16.8,3.1,6.2,16.8,45.6,1149725.0,47.0,80.8,18200,20925.0,87515.0,10.4,Building the AI agent; TurboTax/QBO margin expansion
127,HOOD,"Robinhood Markets, Inc.",Brokerage,CS_INTENSITY,9.9,AVOID,9.6,9.4,3.9,9.6,,1590690.0,38.5,92.2,2900,4613.0,66313.0,15.1,Camillo top pick; high rev/employee benchmark
128,PAYX,"Paychex, Inc.",Payroll/HR,BACKOFFICE,9.2,AVOID,,3.9,18.0,,,,44.4,67.2,,3968.0,34754.0,19.9,Payroll service-bureau labor; AI compresses CS + onboarding
129,IBKR,"Interactive Brokers Group, Inc.",Brokerage,CS_INTENSITY,4.7,AVOID,6.4,0.0,3.1,6.4,,1994121.0,76.8,93.0,3232,6445.0,138300.0,16.8,Already efficient — comparison anchor
